"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 12, 2022","23,787.4","28,404.0","28,534.8","22,632.5","268.88K","-16.25%"
"Jun 05, 2022","28,403.4","29,865.1","31,753.4","28,161.8","614.26K","-4.89%"
"May 29, 2022","29,864.3","29,027.1","32,377.5","28,838.7","610.88K","2.88%"
"May 22, 2022","29,027.1","29,433.0","30,644.8","28,077.9","658.54K","-1.38%"
"May 15, 2022","29,434.6","30,078.6","31,383.8","28,648.1","630.05K","-2.15%"
"May 08, 2022","30,080.4","35,468.0","35,497.0","26,500.5","672.43M","-15.19%"
"May 01, 2022","35,468.0","37,642.0","40,021.0","34,773.0","4.43B","-5.80%"
"Apr 24, 2022","37,650.0","39,434.0","40,770.0","37,596.0","3.35B","-4.49%"
"Apr 17, 2022","39,418.0","40,382.0","42,969.0","38,577.0","2.66B","-2.39%"
"Apr 10, 2022","40,382.0","42,760.0","43,421.0","39,202.0","2.49B","-5.58%"
"Apr 03, 2022","42,767.0","45,813.0","47,435.0","42,113.0","3.23B","-6.64%"
"Mar 27, 2022","45,811.0","44,542.0","48,199.0","44,261.0","3.66B","2.84%"
"Mar 20, 2022","44,548.0","42,241.0","45,112.0","40,530.0","3.16B","5.48%"
"Mar 13, 2022","42,233.0","38,813.2","42,386.0","37,603.4","17.07B","8.81%"
"Mar 06, 2022","38,814.3","39,396.3","42,538.5","37,182.1","20.31B","-1.48%"
"Feb 27, 2022","39,395.8","39,116.6","45,294.2","37,062.3","6.23B","0.72%"
"Feb 20, 2022","39,115.5","40,089.6","40,120.3","34,357.4","635.91K","-2.43%"
"Feb 13, 2022","40,090.3","42,205.5","44,722.6","39,505.0","376.77K","-5.01%"
"Feb 06, 2022","42,205.2","41,411.9","45,755.2","41,176.3","473.29K","1.92%"
"Jan 30, 2022","41,412.1","38,167.5","41,899.8","36,297.3","451.36K","8.49%"
"Jan 23, 2022","38,170.8","35,072.9","38,862.6","32,985.6","630.11K","8.83%"
"Jan 16, 2022","35,075.2","43,079.2","43,487.1","34,116.0","541.76K","-18.61%"
"Jan 09, 2022","43,097.0","41,681.2","44,404.7","39,697.0","391.26K","3.42%"
"Jan 02, 2022","41,672.0","47,738.7","47,944.9","40,574.3","446.80K","-12.71%"
"Dec 26, 2021","47,738.0","50,404.0","52,016.3","45,693.6","391.96K","-5.29%"
"Dec 19, 2021","50,406.4","46,855.7","51,795.3","45,577.3","343.62K","7.58%"
"Dec 12, 2021","46,856.2","49,332.5","50,779.2","45,513.4","446.80K","-4.98%"
"Dec 05, 2021","49,314.5","49,196.4","51,918.6","46,834.0","470.49K","0.24%"
"Nov 28, 2021","49,195.2","54,758.0","59,174.4","42,587.8","485.37K","-10.17%"
"Nov 21, 2021","54,765.9","59,724.0","60,002.6","53,533.5","512.69K","-8.29%"
"Nov 14, 2021","59,717.6","64,397.2","66,311.2","55,626.3","521.73K","-7.27%"
"Nov 07, 2021","64,398.6","61,483.8","68,990.6","61,347.2","451.59K","4.74%"
"Oct 31, 2021","61,483.9","61,842.2","64,256.4","59,612.7","375.25K","-0.58%"
"Oct 24, 2021","61,840.1","61,308.2","63,694.8","58,112.6","449.83K","0.86%"
"Oct 17, 2021","61,312.5","60,865.5","66,967.1","59,143.4","545.11K","0.74%"
"Oct 10, 2021","60,861.1","54,942.5","62,892.8","54,100.8","628.28K","10.77%"
"Oct 03, 2021","54,942.5","47,665.4","55,977.9","46,958.6","506.29K","15.26%"
"Sep 26, 2021","47,666.9","42,685.8","48,435.2","40,786.6","486.08K","11.67%"
"Sep 19, 2021","42,686.8","48,299.9","48,341.9","39,646.8","682.37K","-11.63%"
"Sep 12, 2021","48,306.7","45,162.6","48,761.0","43,463.2","428.09K","6.96%"
"Sep 05, 2021","45,161.9","49,918.7","52,885.3","43,072.4","635.39K","-9.53%"
"Aug 29, 2021","49,918.4","48,899.7","51,008.8","46,533.1","503.54K","2.09%"
"Aug 22, 2021","48,897.1","48,870.4","50,498.8","46,360.4","455.60K","0.04%"
"Aug 15, 2021","48,875.8","47,082.6","49,719.1","43,986.7","404.44K","3.81%"
"Aug 08, 2021","47,081.5","44,584.9","48,090.9","42,824.1","603.00K","5.53%"
"Aug 01, 2021","44,614.2","41,510.0","44,697.3","37,365.4","480.25K","7.37%"
"Jul 25, 2021","41,553.7","34,392.5","42,285.3","33,881.3","772.12K","22.85%"
"Jul 18, 2021","33,824.8","31,517.9","33,955.0","29,310.2","547.54K","7.32%"
"Jul 11, 2021","31,518.6","33,510.8","34,598.0","31,062.2","444.39K","-5.94%"
"Jul 04, 2021","33,510.6","34,742.8","35,957.6","32,146.9","538.72K","-3.55%"
"Jun 27, 2021","34,742.8","32,247.1","36,590.3","32,041.7","644.50K","7.75%"
"Jun 20, 2021","32,243.4","35,510.9","36,097.9","28,901.8","1.38M","-9.21%"